"output_id","section","output_type","required_data","source_artifacts","currently_guaranteed","reconstructable_without_retraining","permanent_retention_required","status","gap"
"RQ1_QUANT","RQ1","TABLE_FIGURE_DATA","test mAP, AP50, AP75, AR by architecture/budget/seed","official_final_test_results.csv;analysis/rq1/*","YES","YES","YES","PASS",""
"RQ2_QUANT","RQ2","TABLE_FIGURE_DATA","paired delta mAP; G_s; CI; p-value; robustness","paired_effects.csv;analysis/rq2/*;analysis/robustness/*","YES","YES","YES","PASS",""
"RQ3_QUANT","RQ3","TABLE_FIGURE_DATA","B_b_s; GG ANOVA; six contrasts; Holm F3; Friedman","analysis/rq3/*;analysis/multiplicity/*;analysis/robustness/*","YES","YES","YES","PASS",""
"RQ4_QUANT","RQ4","TABLE_FIGURE_DATA","Q_pseudo; paired test delta mAP; mixed model; CR2","qpseudo_validation.json;analysis/rq4/*","YES","YES","YES","PASS",""
"RQ5_QUANT","RQ5","TABLE_FIGURE_DATA","Atelectasis/Pneumothorax class-wise AP paired effects","classwise_ap.csv;paired_effects.csv;analysis/rq5/*","YES","YES","YES","PASS",""
"RQ6_QUANT","RQ6","TABLE_FIGURE_DATA","FP/image; FP/negative; FAR; paired effects","negative_metrics.json;analysis/rq6/*","YES","YES","YES","PASS",""
"RQ7_QUANT","RQ7","TABLE_FIGURE_DATA","architecture-specific paired SSL gains by seed","paired_effects.csv;analysis/rq7/*","YES","YES","YES","PASS",""
"ABLATION_QUANT","ABLATION","TABLE_FIGURE_DATA","validation mAP/AP50/AP75/Q_pseudo by OFAT variant and seed","results/ablation/*;analysis/ablation/*","YES","YES","YES","PASS",""
"QUAL_DETECTION","QUALITATIVE","REAL_CXR_GT_SUP_SSL","image_id; image identity; GT; SUP/SSL predictions; scores; run/checkpoint provenance","source JPG/COCO; detections.json","YES_BY_LOCKED_CONTRACT","REQUIRED_BY_LOCKED_CONTRACT_AT_APPLICABLE_GATE","YES","PASS",""
"QUAL_NO_FINDING","QUALITATIVE","NO_FINDING_FP","zero-GT image; image-level predictions; scores/classes; operating-point provenance","source JPG; detections.json; negative_metrics.json","YES_BY_LOCKED_CONTRACT","REQUIRED_BY_LOCKED_CONTRACT_AT_APPLICABLE_GATE","YES","PASS",""
"QUAL_PSEUDO","QUALITATIVE","PSEUDO_LABEL","validation image; validation GT; LAST EMA Teacher accepted predictions; acceptance provenance","val_last_teacher_predictions.json;qpseudo_validation.json","YES_BY_LOCKED_CONTRACT","REQUIRED_BY_LOCKED_CONTRACT_AT_APPLICABLE_GATE","YES","PASS",""
"QUAL_SELECTION","QUALITATIVE","CASE_SELECTION","deterministic prespecified case-selection rule","NEW qualitative_case_selection_manifest.csv","YES_BY_LOCKED_CONTRACT","N/A","YES","PASS",""
"QUAL_PROVENANCE","QUALITATIVE","FIGURE_PROVENANCE","image/run/checkpoint/prediction/script/figure SHA-256 provenance","NEW qualitative_figure_manifest.csv","YES_BY_LOCKED_CONTRACT","N/A","YES","PASS",""
"QUAL_RECONSTRUCTION","QUALITATIVE","RECONSTRUCTION_TEST","retained inputs + generation script reproduce thesis figure without retraining","NEW qualitative_reconstruction_check.json","YES_BY_LOCKED_CONTRACT","REQUIRED_BY_LOCKED_CONTRACT_AT_APPLICABLE_GATE","YES","PASS",""
